,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
T_Ch_R4500,0.026534776677598213,0.18386169448098638,-0.18270455481668302,0.060143243116012296,-0.03516646693044676,-0.2122166413003308,-0.031151450897364194,-0.026583919312250636,0.05976096843505243,0.05199245791170517,-0.09892083468324764,0.030656873682704335
T_Ch_R3500,0.023675925517787143,0.19471629130298315,-0.18167633400499952,0.04780089738489774,-0.030980130130014463,-0.20268329395031717,-0.014171091584407028,-0.01200538203977835,0.03814602037626813,0.03439161436213265,-0.06739236238670616,0.004232747399283966
CONTVTY,0.021537788928908674,-0.039179432253259434,0.04724169096212594,0.02008493524716981,-0.09560196569152041,0.19573073310914396,0.391929924314534,0.06874394178839555,0.33805162942810285,0.1467786176470144,-0.13791071635039365,0.2110445188978396
T_Ch_R4000,0.02010947529483806,0.18423917418662064,-0.1807022253575242,0.05887135108520677,-0.041330448387688616,-0.22210603901596837,-0.02314840911214086,-0.014650303892712052,0.060454732109360705,0.044110541953697,-0.07614209100191531,0.02382930517700701
Park,0.017330888961923682,-0.0012759356405581646,-0.06134925672986846,-0.00993856522151701,-0.14320806074894823,0.15269324948784738,-0.03671688704959575,-0.01756174765892022,0.015618952225138871,0.5248812686162425,0.0074761556533596285,-0.24814890191968098
BANKOFF,0.002250984126017125,0.0029545964421633375,-0.04846107163788682,0.03943708528425022,-0.015744084612517084,-0.1420296393331448,-0.06419249791115922,-0.2333329180215645,0.2911546290570715,-0.11877414960733865,0.12445202018450041,0.10051367869890096
A_CONTVTY,0.001402546476388698,-0.029424055797681942,-0.0050874374612799676,-0.04354890830871028,-0.07641626574903658,0.17701055760949427,0.37490213029591474,0.19360718138786018,0.3273020681112864,0.028994180749785325,-0.24252276412805368,0.296460745797598
COMCEN,0.0,-5.551115123125783e-17,-1.3877787807814457e-16,3.9898639947466563e-17,5.551115123125783e-17,-2.7755575615628914e-17,8.326672684688674e-17,5.551115123125783e-17,-1.3877787807814457e-17,1.3877787807814457e-17,9.71445146547012e-17,0.0
T_Ch_RN,-0.00014758916684910547,0.0463552658674675,-0.14297095249019764,0.06382332901812572,-0.03984692691088571,-0.22199323136041854,-0.057115159349104196,-0.11497368328691099,0.12640723203134743,0.08639545859344835,-0.4766595863498223,-0.1253141502052937
M_MD_R250,-0.00938248827849345,-0.04389771939104832,-0.10403987748317708,-0.22982119434206433,0.09606996243511272,-0.015330878341006821,-0.010453674955837761,0.08141592010499281,-0.1766140196069921,-0.21305303396138087,-0.38342615255710155,0.022923140016416692
